gene,phase
AT1G80550,Enriched_G2M
AT1G80460,Enriched_G2M
AT1G80380,Enriched_G2M
AT1G63810,Enriched_G2M
AT1G63780,Enriched_G2M
AT1G80370,Enriched_G2M
AT1G69270,Enriched_G2M
AT1G69400,Enriched_G2M
AT1G69295,Enriched_G2M
AT1G72320,Enriched_G2M
AT1G72440,Enriched_G2M
AT1G68185,Enriched_G2M
AT1G10900,Enriched_G2M
AT1G10990,Enriched_G2M
AT2G41710,Enriched_G2M
AT1G51580,Enriched_G2M
AT2G41720,Enriched_G2M
AT2G43560,Enriched_G2M
AT2G43535,Enriched_G2M
AT1G53200,Enriched_G2M
AT1G19340,Enriched_G2M
AT1G19520,Enriched_G2M
AT1G17530,Enriched_G2M
AT1G17580,Enriched_G2M
AT1G15000,Enriched_G2M
AT1G78430,Enriched_G2M
AT1G78310,Enriched_G2M
AT1G06770,Enriched_G2M
AT1G06720,Enriched_G2M
AT1G21880,Enriched_G2M
AT1G02690,Enriched_G2M
AT1G06110,Enriched_G2M
AT1G06130,Enriched_G2M
AT1G06040,Enriched_G2M
AT1G01225,Enriched_G2M
AT1G01320,Enriched_G2M
AT1G07590,Enriched_G2M
AT1G19600,Enriched_G2M
AT1G19770,Enriched_G2M
AT1G04760,Enriched_G2M
AT1G12800,Enriched_G2M
AT1G19950,Enriched_G2M
AT1G20090,Enriched_G2M
AT1G53140,Enriched_G2M
AT1G18850,Enriched_G2M
AT1G05440,Enriched_G2M
AT1G28390,Enriched_G2M
AT1G14300,Enriched_G2M
AT1G01770,Enriched_G2M
AT1G01970,Enriched_G2M
AT1G50000,Enriched_G2M
AT1G01950,Enriched_G2M
AT1G18370,Enriched_G2M
AT1G18470,Enriched_G2M
AT1G32730,Enriched_G2M
AT1G32640,Enriched_G2M
AT1G76130,Enriched_G2M
AT1G08210,Enriched_G2M
AT1G15660,Enriched_G2M
AT1G76310,Enriched_G2M
AT1G16080,Enriched_G2M
AT1G30520,Enriched_G2M
AT1G16070,Enriched_G2M
AT1G50490,Enriched_G2M
AT1G50450,Enriched_G2M
AT1G80770,Enriched_G2M
AT1G80900,Enriched_G2M
AT1G22440,Enriched_G2M
AT1G64600,Enriched_G2M
AT1G33750,Enriched_G2M
AT1G64460,Enriched_G2M
AT1G35660,Enriched_G2M
AT1G59540,Enriched_G2M
AT1G56170,Enriched_G2M
AT1G02810,Enriched_G2M
AT1G02730,Enriched_G2M
AT1G78080,Enriched_G2M
AT1G78050,Enriched_G2M
AT1G74790,Enriched_G2M
AT1G74770,Enriched_G2M
AT1G48240,Enriched_G2M
AT1G48280,Enriched_G2M
AT1G70895,Enriched_G2M
AT1G68670,Enriched_G2M
AT1G64220,Enriched_G2M
AT1G63980,Enriched_G2M
AT1G64110,Enriched_G2M
AT1G72820,Enriched_G2M
AT1G73090,Enriched_G2M
AT1G72970,Enriched_G2M
AT1G50400,Enriched_G2M
AT1G50240,Enriched_G2M
AT1G11220,Enriched_G2M
AT1G21760,Enriched_G2M
AT1G17050,Enriched_G2M
AT1G17140,Enriched_G2M
AT1G31360,Enriched_G2M
AT1G31335,Enriched_G2M
AT1G34210,Enriched_G2M
AT1G15230,Enriched_G2M
AT1G15110,Enriched_G2M
AT1G15440,Enriched_G2M
AT1G15480,Enriched_G2M
AT1G06560,Enriched_G2M
AT1G62750,Enriched_G2M
AT1G14040,Enriched_G2M
AT1G14130,Enriched_G2M
AT1G62780,Enriched_G2M
AT1G76020,Enriched_G2M
AT1G16220,Enriched_G2M
AT1G16330,Enriched_G2M
AT1G10780,Enriched_G2M
AT1G13220,Enriched_G2M
AT1G13030,Enriched_G2M
AT1G10740,Enriched_G2M
AT1G20930,Enriched_G2M
AT1G11710,Enriched_G2M
AT1G11800,Enriched_G2M
AT1G64970,Enriched_G2M
AT1G64720,Enriched_G2M
AT1G59840,Enriched_G2M
AT1G79380,Enriched_G2M
AT1G79470,Enriched_G2M
AT1G75670,Enriched_G2M
AT1G54310,Enriched_G2M
AT1G75640,Enriched_G2M
AT2G17620,Enriched_G2M
AT1G23280,Enriched_G2M
AT1G23360,Enriched_G2M
AT2G17510,Enriched_G2M
AT1G03110,Enriched_G2M
AT1G78660,Enriched_G2M
AT1G54180,Enriched_G2M
AT1G10522,Enriched_G2M
AT1G30690,Enriched_G2M
AT2G16570,Enriched_G2M
AT2G31450,Enriched_G2M
AT1G10490,Enriched_G2M
AT2G14100,Enriched_G2M
AT2G15320,Enriched_G2M
AT2G04940,Enriched_G2M
AT2G40140,Enriched_G2M
AT2G22260,Enriched_G2M
AT2G22270,Enriched_G2M
AT2G28600,Enriched_G2M
AT2G28670,Enriched_G2M
AT2G28620,Enriched_G2M
AT2G31890,Enriched_G2M
AT2G04030,Enriched_G2M
AT2G31840,Enriched_G2M
AT2G21640,Enriched_G2M
AT2G16430,Enriched_G2M
AT2G17080,Enriched_G2M
AT2G16480,Enriched_G2M
AT2G16230,Enriched_G2M
AT1G04420,Enriched_G2M
AT1G59990,Enriched_G2M
AT1G31240,Enriched_G2M
AT1G09300,Enriched_G2M
AT2G21385,Enriched_G2M
AT2G24610,Enriched_G2M
AT2G24550,Enriched_G2M
AT2G37020,Enriched_G2M
AT2G04450,Enriched_G2M
AT2G04430,Enriched_G2M
AT2G04540,Enriched_G2M
AT2G04530,Enriched_G2M
AT2G21860,Enriched_G2M
AT2G21940,Enriched_G2M
AT2G36380,Enriched_G2M
AT2G21800,Enriched_G2M
AT2G35930,Enriched_G2M
AT2G35920,Enriched_G2M
AT2G36010,Enriched_G2M
AT2G36200,Enriched_G2M
AT2G42720,Enriched_G2M
AT2G22360,Enriched_G2M
AT2G22470,Enriched_G2M
AT2G03670,Enriched_G2M
AT2G03780,Enriched_G2M
AT2G03760,Enriched_G2M
AT2G22490,Enriched_G2M
AT2G27970,Enriched_G2M
AT2G31190,Enriched_G2M
AT1G79050,Enriched_G2M
AT1G02280,Enriched_G2M
AT1G79150,Enriched_G2M
AT1G02110,Enriched_G2M
AT1G09280,Enriched_G2M
AT1G04130,Enriched_G2M
AT1G03270,Enriched_G2M
AT1G03360,Enriched_G2M
AT1G03180,Enriched_G2M
AT2G25060,Enriched_G2M
AT1G27300,Enriched_G2M
AT1G10300,Enriched_G2M
AT1G09520,Enriched_G2M
AT1G10050,Enriched_G2M
AT1G30820,Enriched_G2M
AT1G09450,Enriched_G2M
AT1G05170,Enriched_G2M
AT2G17670,Enriched_G2M
AT1G04710,Enriched_G2M
AT1G65660,Enriched_G2M
AT1G09795,Enriched_G2M
AT1G09815,Enriched_G2M
AT1G09830,Enriched_G2M
AT1G09700,Enriched_G2M
AT1G70000,Enriched_G2M
AT1G62150,Enriched_G2M
AT1G61370,Enriched_G2M
AT1G61450,Enriched_G2M
AT1G22930,Enriched_G2M
AT1G08650,Enriched_G2M
AT1G08710,Enriched_G2M
AT1G08840,Enriched_G2M
AT1G08560,Enriched_G2M
AT2G17900,Enriched_G2M
AT1G03530,Enriched_G2M
AT1G03610,Enriched_G2M
AT2G17440,Enriched_G2M
AT1G60620,Enriched_G2M
AT1G77050,Enriched_G2M
AT1G60560,Enriched_G2M
AT1G67310,Enriched_G2M
AT1G24440,Enriched_G2M
AT1G03920,Enriched_G2M
AT1G04000,Enriched_G2M
AT1G61640,Enriched_G2M
AT1G03780,Enriched_G2M
AT1G03770,Enriched_G2M
AT1G04030,Enriched_G2M
AT1G51190,Enriched_G2M
AT1G51380,Enriched_G2M
AT1G30960,Enriched_G2M
AT1G23790,Enriched_G2M
AT2G28450,Enriched_G2M
AT2G18220,Enriched_G2M
AT2G22610,Enriched_G2M
AT2G46500,Enriched_G2M
AT2G37080,Enriched_G2M
AT2G15790,Enriched_G2M
AT2G06010,Enriched_G2M
AT2G28250,Enriched_G2M
AT2G25355,Enriched_G2M
AT2G13840,Enriched_G2M
AT2G32030,Enriched_G2M
AT2G01180,Enriched_G2M
AT2G01320,Enriched_G2M
AT2G01290,Enriched_G2M
AT2G48010,Enriched_G2M
AT2G35736,Enriched_G2M
AT2G18620,Enriched_G2M
AT2G19620,Enriched_G2M
AT2G19540,Enriched_G2M
AT2G37240,Enriched_G2M
AT2G37510,Enriched_G2M
AT2G37410,Enriched_G2M
AT2G24180,Enriched_G2M
AT2G37340,Enriched_G2M
AT2G37390,Enriched_G2M
AT2G37420,Enriched_G2M
AT2G18710,Enriched_G2M
AT2G40780,Enriched_G2M
AT2G37860,Enriched_G2M
AT2G45150,Enriched_G2M
AT2G37890,Enriched_G2M
AT2G28130,Enriched_G2M
AT2G39050,Enriched_G2M
AT2G39110,Enriched_G2M
AT2G29400,Enriched_G2M
AT2G27590,Enriched_G2M
AT2G29260,Enriched_G2M
AT2G29490,Enriched_G2M
AT2G29550,Enriched_G2M
AT2G27050,Enriched_G2M
AT2G27000,Enriched_G2M
AT2G27010,Enriched_G2M
AT2G27040,Enriched_G2M
AT2G01510,Enriched_G2M
AT2G41410,Enriched_G2M
AT2G38740,Enriched_G2M
AT2G38760,Enriched_G2M
AT2G07170,Enriched_G2M
AT2G43290,Enriched_G2M
AT2G43190,Enriched_G2M
AT2G43320,Enriched_G2M
AT2G47710,Enriched_G2M
AT2G47790,Enriched_G2M
AT2G47990,Enriched_G2M
AT2G47680,Enriched_G2M
AT2G46270,Enriched_G2M
AT2G46080,Enriched_G2M
AT2G46150,Enriched_G2M
AT2G35470,Enriched_G2M
AT2G25880,Enriched_G2M
AT2G25900,Enriched_G2M
AT2G19670,Enriched_G2M
AT2G03050,Enriched_G2M
AT2G47130,Enriched_G2M
AT2G26070,Enriched_G2M
AT2G34570,Enriched_G2M
AT2G45730,Enriched_G2M
AT2G45960,Enriched_G2M
AT2G18850,Enriched_G2M
AT2G34450,Enriched_G2M
AT2G34190,Enriched_G2M
AT2G38370,Enriched_G2M
AT2G41160,Enriched_G2M
AT2G41500,Enriched_G2M
AT2G32590,Enriched_G2M
AT2G23530,Enriched_G2M
AT2G23610,Enriched_G2M
AT2G38160,Enriched_G2M
AT2G23360,Enriched_G2M
AT2G44180,Enriched_G2M
AT2G43980,Enriched_G2M
AT2G44080,Enriched_G2M
AT2G44190,Enriched_G2M
AT2G23810,Enriched_G2M
AT2G30150,Enriched_G2M
AT2G19385,Enriched_G2M
AT2G34750,Enriched_G2M
AT2G39880,Enriched_G2M
AT2G44450,Enriched_G2M
AT2G44500,Enriched_G2M
AT1G76170,Enriched_G2M
AT2G34920,Enriched_G2M
AT2G33680,Enriched_G2M
AT2G45490,Enriched_G2M
AT2G45590,Enriched_G2M
AT2G39670,Enriched_G2M
AT2G32990,Enriched_G2M
AT2G26760,Enriched_G2M
AT2G42110,Enriched_G2M
AT2G26440,Depleted_G2M
AT2G39830,Depleted_G2M
AT1G44575,Depleted_G2M
AT4G16447,Depleted_G2M
AT5G04200,Depleted_G2M
AT5G13140,Depleted_G2M
AT5G26731,Depleted_G2M
AT5G24900,Depleted_G2M
AT5G67440,Depleted_G2M
AT5G65790,Depleted_G2M
AT5G62210,Depleted_G2M
AT5G61460,Depleted_G2M
AT5G59360,Depleted_G2M
AT5G57970,Depleted_G2M
AT5G56970,Depleted_G2M
AT5G51810,Depleted_G2M
AT5G51490,Depleted_G2M
AT5G47920,Depleted_G2M
AT5G47250,Depleted_G2M
AT5G45200,Depleted_G2M
AT5G44160,Depleted_G2M
AT5G44530,Depleted_G2M
AT5G41620,Depleted_G2M
AT5G39820,Depleted_G2M
AT5G38970,Depleted_G2M
AT5G37660,Depleted_G2M
AT5G35670,Depleted_G2M
AT5G12900,Depleted_G2M
AT5G13290,Depleted_G2M
AT5G10100,Depleted_G2M
AT5G08260,Depleted_G2M
AT5G05860,Depleted_G2M
AT5G03150,Depleted_G2M
AT5G02570,Depleted_G2M
AT3G62930,Depleted_G2M
AT3G61810,Depleted_G2M
AT3G59680,Depleted_G2M
AT3G55420,Depleted_G2M
AT3G55180,Depleted_G2M
AT3G52490,Depleted_G2M
AT3G50230,Depleted_G2M
AT3G50240,Depleted_G2M
AT3G48970,Depleted_G2M
AT3G48550,Depleted_G2M
AT3G48185,Depleted_G2M
AT3G47980,Depleted_G2M
AT3G47620,Depleted_G2M
AT3G47210,Depleted_G2M
AT4G38580,Depleted_G2M
AT4G37650,Depleted_G2M
AT4G35840,Depleted_G2M
AT4G35030,Depleted_G2M
AT4G30520,Depleted_G2M
AT4G29140,Depleted_G2M
AT4G27435,Depleted_G2M
AT4G25050,Depleted_G2M
AT4G22270,Depleted_G2M
AT4G22570,Depleted_G2M
AT4G17970,Depleted_G2M
AT4G13210,Depleted_G2M
AT4G11090,Depleted_G2M
AT4G10640,Depleted_G2M
AT2G33530,Depleted_G2M
AT2G40480,Depleted_G2M
AT1G22070,Depleted_G2M
AT1G13670,Depleted_G2M
AT3G12090,Depleted_G2M
AT1G33470,Depleted_G2M
AT1G66030,Depleted_G2M
AT3G14780,Depleted_G2M
AT2G34060,Depleted_G2M
AT2G34080,Depleted_G2M
AT3G27950,Depleted_G2M
AT2G43140,Depleted_G2M
AT3G25950,Depleted_G2M
AT3G12955,Depleted_G2M
AT3G15680,Depleted_G2M
AT3G05740,Depleted_G2M
AT3G04980,Depleted_G2M
AT3G02210,Depleted_G2M
AT3G10190,Depleted_G2M
AT3G11600,Depleted_G2M
AT1G72180,Depleted_G2M
AT1G73780,Depleted_G2M
AT1G68500,Depleted_G2M
AT1G74055,Depleted_G2M
AT1G07640,Depleted_G2M
AT1G08250,Depleted_G2M
AT1G64660,Depleted_G2M
AT1G80100,Depleted_G2M
AT1G78020,Depleted_G2M
AT1G74890,Depleted_G2M
AT1G21830,Depleted_G2M
AT1G34340,Depleted_G2M
AT1G76040,Depleted_G2M
AT1G16390,Depleted_G2M
AT1G14720,Depleted_G2M
AT1G79430,Depleted_G2M
AT1G23380,Depleted_G2M
AT1G78580,Depleted_G2M
AT2G14095,Depleted_G2M
AT2G28660,Depleted_G2M
AT2G31900,Depleted_G2M
AT2G04850,Depleted_G2M
AT1G26870,Depleted_G2M
AT2G40330,Depleted_G2M
AT2G36870,Depleted_G2M
AT2G42660,Depleted_G2M
AT2G31230,Depleted_G2M
AT1G79110,Depleted_G2M
AT1G55760,Depleted_G2M
AT1G23210,Depleted_G2M
AT1G23080,Depleted_G2M
AT1G77020,Depleted_G2M
AT2G28410,Depleted_G2M
AT2G15680,Depleted_G2M
AT2G35770,Depleted_G2M
AT2G24230,Depleted_G2M
AT2G07680,Depleted_G2M
AT2G18780,Depleted_G2M
AT2G02080,Depleted_G2M
AT2G28870,Depleted_G2M
AT2G06925,Depleted_G2M
AT2G25790,Depleted_G2M
AT2G39220,Depleted_G2M
AT2G32620,Depleted_G2M
AT2G38300,Depleted_G2M
AT2G30890,Depleted_G2M
AT5G24800,Depleted_G2M
AT5G64570,Depleted_G2M
AT5G22580,Depleted_G2M
AT5G18690,Depleted_G2M
AT5G02580,Depleted_G2M
AT4G21070,Depleted_G2M
AT4G08770,Depleted_G2M
AT1G20340,Depleted_G2M
AT3G05190,Depleted_G2M
AT1G68810,Depleted_G2M
AT1G30490,Depleted_G2M
AT1G33670,Depleted_G2M
AT2G46850,Depleted_G2M
AT2G45660,Depleted_G2M
AT5G28300,Depleted_G2M
AT1G26330,Depleted_G2M
AT5G09500,Depleted_G2M
AT5G08370,Depleted_G2M
AT5G14920,Depleted_G2M
AT5G25490,Depleted_G2M
AT5G58300,Depleted_G2M
AT5G57630,Depleted_G2M
AT5G51670,Depleted_G2M
AT5G49120,Depleted_G2M
AT5G43810,Depleted_G2M
AT5G40090,Depleted_G2M
AT5G18840,Depleted_G2M
AT5G07990,Depleted_G2M
AT5G06440,Depleted_G2M
AT5G02440,Depleted_G2M
AT3G56480,Depleted_G2M
AT3G48490,Depleted_G2M
AT3G44720,Depleted_G2M
AT4G39070,Depleted_G2M
AT4G31980,Depleted_G2M
AT4G31000,Depleted_G2M
AT4G29100,Depleted_G2M
AT4G24060,Depleted_G2M
AT4G12910,Depleted_G2M
AT1G06980,Depleted_G2M
AT1G55120,Depleted_G2M
AT1G33560,Depleted_G2M
AT1G75150,Depleted_G2M
AT3G20110,Depleted_G2M
AT3G23740,Depleted_G2M
AT3G23730,Depleted_G2M
AT3G21770,Depleted_G2M
AT3G20840,Depleted_G2M
AT3G20810,Depleted_G2M
AT3G11660,Depleted_G2M
AT1G68430,Depleted_G2M
AT1G71380,Depleted_G2M
AT1G73760,Depleted_G2M
AT1G26450,Depleted_G2M
AT1G12845,Depleted_G2M
AT1G20020,Depleted_G2M
AT1G79580,Depleted_G2M
AT1G14280,Depleted_G2M
AT2G01080,Depleted_G2M
AT1G70950,Depleted_G2M
AT1G47410,Depleted_G2M
AT2G05760,Depleted_G2M
AT2G25350,Depleted_G2M
AT2G28510,Depleted_G2M
AT1G54730,Depleted_G2M
AT1G10400,Depleted_G2M
AT1G09460,Depleted_G2M
AT1G23010,Depleted_G2M
AT1G22880,Depleted_G2M
AT1G60800,Depleted_G2M
AT1G52150,Depleted_G2M
AT1G51260,Depleted_G2M
AT1G05010,Depleted_G2M
AT2G39870,Depleted_G2M
AT1G33610,Depleted_G2M
AT5G62960,Depleted_G2M
AT5G47370,Depleted_G2M
AT5G46740,Depleted_G2M
AT5G05900,Depleted_G2M
AT5G03960,Depleted_G2M
AT4G03960,Depleted_G2M
AT4G01270,Depleted_G2M
AT3G04940,Depleted_G2M
AT3G01310,Depleted_G2M
AT1G13330,Depleted_G2M
AT1G76470,Depleted_G2M
AT1G68760,Depleted_G2M
AT1G70550,Depleted_G2M
AT2G41820,Depleted_G2M
AT1G75450,Depleted_G2M
AT1G26820,Depleted_G2M
AT1G04550,Depleted_G2M
AT2G45340,Depleted_G2M
AT4G37250,Depleted_G2M
AT5G26790,Depleted_G2M
AT5G67470,Depleted_G2M
AT5G62920,Depleted_G2M
AT5G60690,Depleted_G2M
AT5G60200,Depleted_G2M
AT5G60400,Depleted_G2M
AT5G59070,Depleted_G2M
AT5G59090,Depleted_G2M
AT5G55550,Depleted_G2M
AT5G52250,Depleted_G2M
AT5G50300,Depleted_G2M
AT5G48480,Depleted_G2M
AT5G45940,Depleted_G2M
AT5G45210,Depleted_G2M
AT5G43580,Depleted_G2M
AT5G43760,Depleted_G2M
AT5G40980,Depleted_G2M
AT5G38280,Depleted_G2M
AT5G35740,Depleted_G2M
AT5G23210,Depleted_G2M
AT5G08130,Depleted_G2M
AT5G07820,Depleted_G2M
AT5G06270,Depleted_G2M
AT5G04970,Depleted_G2M
AT5G03610,Depleted_G2M
AT5G03510,Depleted_G2M
AT5G02000,Depleted_G2M
AT3G56170,Depleted_G2M
AT3G47860,Depleted_G2M
AT3G45010,Depleted_G2M
AT4G39640,Depleted_G2M
AT4G31100,Depleted_G2M
AT4G26130,Depleted_G2M
AT4G23490,Depleted_G2M
AT4G20140,Depleted_G2M
AT4G18340,Depleted_G2M
AT4G11190,Depleted_G2M
AT4G11290,Depleted_G2M
AT4G03140,Depleted_G2M
AT4G00440,Depleted_G2M
AT1G07260,Depleted_G2M
AT1G56210,Depleted_G2M
AT3G21420,Depleted_G2M
AT3G18980,Depleted_G2M
AT3G28130,Depleted_G2M
AT1G75580,Depleted_G2M
AT3G25710,Depleted_G2M
AT3G25290,Depleted_G2M
AT3G14570,Depleted_G2M
AT3G26760,Depleted_G2M
AT3G05900,Depleted_G2M
AT3G10525,Depleted_G2M
AT3G10520,Depleted_G2M
AT3G01220,Depleted_G2M
AT1G43910,Depleted_G2M
AT1G55210,Depleted_G2M
AT1G60890,Depleted_G2M
AT1G77660,Depleted_G2M
AT1G74160,Depleted_G2M
AT1G71400,Depleted_G2M
AT1G53660,Depleted_G2M
AT1G74090,Depleted_G2M
AT1G62380,Depleted_G2M
AT1G20190,Depleted_G2M
AT1G14390,Depleted_G2M
AT1G15550,Depleted_G2M
AT1G50580,Depleted_G2M
AT1G80690,Depleted_G2M
AT1G65900,Depleted_G2M
AT1G77920,Depleted_G2M
AT1G70940,Depleted_G2M
AT1G14080,Depleted_G2M
AT1G79410,Depleted_G2M
AT2G28720,Depleted_G2M
AT2G24970,Depleted_G2M
AT2G04880,Depleted_G2M
AT2G04800,Depleted_G2M
AT1G67510,Depleted_G2M
AT2G25160,Depleted_G2M
AT1G61740,Depleted_G2M
AT1G27360,Depleted_G2M
AT1G09750,Depleted_G2M
AT1G70230,Depleted_G2M
AT1G23040,Depleted_G2M
AT1G67340,Depleted_G2M
AT2G28810,Depleted_G2M
AT2G32280,Depleted_G2M
AT2G47930,Depleted_G2M
AT2G14900,Depleted_G2M
AT2G29660,Depleted_G2M
AT2G02950,Depleted_G2M
AT2G22930,Depleted_G2M
AT2G44740,Depleted_G2M
AT2G38180,Depleted_G2M
AT2G26730,Depleted_G2M
AT5G16940,Depleted_G2M
AT5G16000,Depleted_G2M
AT3G42800,Depleted_G2M
AT1G07270,Depleted_G2M
AT3G29770,Depleted_G2M
AT1G19835,Depleted_G2M
AT1G20900,Depleted_G2M
AT2G42870,Depleted_G2M
AT2G42320,Depleted_G2M
AT2G46910,Depleted_G2M
AT2G34710,Depleted_G2M
AT2G26510,Depleted_G2M
AT2G39770,Depleted_G2M
AT2G39750,Depleted_G2M
AT2G23310,Depleted_G2M
AT2G40840,Depleted_G2M
AT2G40940,Depleted_G2M
AT2G40890,Depleted_G2M
AT2G41660,Depleted_G2M
AT2G47460,Depleted_G2M
AT1G67750,Depleted_G2M
AT4G16360,Depleted_G2M
AT4G16430,Depleted_G2M
AT4G14360,Depleted_G2M
AT4G15470,Depleted_G2M
AT4G16660,Depleted_G2M
AT4G14690,Depleted_G2M
AT4G13950,Depleted_G2M
AT4G16500,Depleted_G2M
AT4G16850,Depleted_G2M
AT4G17460,Depleted_G2M
AT4G17670,Depleted_G2M
AT4G17430,Depleted_G2M
AT4G16710,Depleted_G2M
AT4G16250,Depleted_G2M
AT4G15920,Depleted_G2M
AT4G14695,Depleted_G2M
AT4G14940,Depleted_G2M
AT4G14230,Depleted_G2M
AT4G14240,Depleted_G2M
AT4G14270,Depleted_G2M
AT1G24764,Depleted_G2M
AT1G56720,Depleted_G2M
AT5G04160,Depleted_G2M
AT1G44170,Depleted_G2M
AT1G51060,Depleted_G2M
AT1G45688,Depleted_G2M
AT1G46264,Depleted_G2M
AT1G58440,Depleted_G2M
AT5G24760,Depleted_G2M
AT5G19570,Depleted_G2M
AT5G20700,Depleted_G2M
AT5G20650,Depleted_G2M
AT5G08415,Depleted_G2M
AT5G21070,Depleted_G2M
AT5G08280,Depleted_G2M
AT5G08350,Depleted_G2M
AT5G20280,Depleted_G2M
AT5G28640,Depleted_G2M
AT5G20850,Depleted_G2M
AT5G20960,Depleted_G2M
AT5G19980,Depleted_G2M
AT4G36760,Depleted_G2M
AT4G37160,Depleted_G2M
AT4G37080,Depleted_G2M
AT4G36640,Depleted_G2M
AT1G31812,Depleted_G2M
AT4G36620,Depleted_G2M
AT1G31850,Depleted_G2M
AT3G56870,Depleted_G2M
AT3G56720,Depleted_G2M
AT1G51940,Depleted_G2M
AT1G57620,Depleted_G2M
AT1G77330,Depleted_G2M
AT1G57590,Depleted_G2M
AT1G57680,Depleted_G2M
AT5G17050,Depleted_G2M
AT5G16730,Depleted_G2M
AT5G15910,Depleted_G2M
AT5G16150,Depleted_G2M
AT5G15490,Depleted_G2M
AT5G15770,Depleted_G2M
AT5G15050,Depleted_G2M
AT5G15470,Depleted_G2M
AT5G15580,Depleted_G2M
AT5G14950,Depleted_G2M
AT5G35160,Depleted_G2M
AT5G28020,Depleted_G2M
AT5G27670,Depleted_G2M
AT5G27490,Depleted_G2M
AT5G27430,Depleted_G2M
AT5G26940,Depleted_G2M
AT5G26780,Depleted_G2M
AT5G27000,Depleted_G2M
AT5G25770,Depleted_G2M
AT5G25830,Depleted_G2M
AT5G25460,Depleted_G2M
AT5G67280,Depleted_G2M
AT5G67360,Depleted_G2M
AT5G67600,Depleted_G2M
AT5G67100,Depleted_G2M
AT5G67130,Depleted_G2M
AT5G67070,Depleted_G2M
AT5G66920,Depleted_G2M
AT5G66590,Depleted_G2M
AT5G66280,Depleted_G2M
AT5G66460,Depleted_G2M
AT5G66060,Depleted_G2M
AT5G65640,Depleted_G2M
AT5G65810,Depleted_G2M
AT5G65450,Depleted_G2M
AT5G65390,Depleted_G2M
AT5G65360,Depleted_G2M
AT5G65380,Depleted_G2M
AT5G65270,Depleted_G2M
AT5G64850,Depleted_G2M
AT5G64560,Depleted_G2M
AT5G64740,Depleted_G2M
AT5G64330,Depleted_G2M
AT5G64030,Depleted_G2M
AT5G63530,Depleted_G2M
AT5G63660,Depleted_G2M
AT5G63760,Depleted_G2M
AT5G63650,Depleted_G2M
AT5G63800,Depleted_G2M
AT5G63410,Depleted_G2M
AT5G62740,Depleted_G2M
AT5G62580,Depleted_G2M
AT5G62670,Depleted_G2M
AT5G62200,Depleted_G2M
AT5G62330,Depleted_G2M
AT5G61790,Depleted_G2M
AT5G61840,Depleted_G2M
AT5G61380,Depleted_G2M
AT5G60920,Depleted_G2M
AT5G61240,Depleted_G2M
AT5G60890,Depleted_G2M
AT5G61000,Depleted_G2M
AT5G60460,Depleted_G2M
AT5G60520,Depleted_G2M
AT5G59870,Depleted_G2M
AT5G59910,Depleted_G2M
AT5G59890,Depleted_G2M
AT5G59420,Depleted_G2M
AT5G59800,Depleted_G2M
AT5G59410,Depleted_G2M
AT5G58900,Depleted_G2M
AT5G58600,Depleted_G2M
AT5G58060,Depleted_G2M
AT5G57460,Depleted_G2M
AT5G57110,Depleted_G2M
AT5G56740,Depleted_G2M
AT5G56350,Depleted_G2M
AT5G56320,Depleted_G2M
AT5G55630,Depleted_G2M
AT5G55640,Depleted_G2M
AT5G56040,Depleted_G2M
AT5G55730,Depleted_G2M
AT5G54830,Depleted_G2M
AT5G54970,Depleted_G2M
AT5G54640,Depleted_G2M
AT5G53140,Depleted_G2M
AT5G53420,Depleted_G2M
AT5G53020,Depleted_G2M
AT5G53160,Depleted_G2M
AT5G52220,Depleted_G2M
AT5G52280,Depleted_G2M
AT5G51500,Depleted_G2M
AT5G51550,Depleted_G2M
AT5G50370,Depleted_G2M
AT5G50420,Depleted_G2M
AT5G49945,Depleted_G2M
AT5G50020,Depleted_G2M
AT5G50180,Depleted_G2M
AT5G50210,Depleted_G2M
AT5G50200,Depleted_G2M
AT5G49720,Depleted_G2M
AT5G49160,Depleted_G2M
AT5G49460,Depleted_G2M
AT5G49010,Depleted_G2M
AT5G48450,Depleted_G2M
AT5G47780,Depleted_G2M
AT5G47540,Depleted_G2M
AT5G47820,Depleted_G2M
AT5G47870,Depleted_G2M
AT5G47490,Depleted_G2M
AT5G47500,Depleted_G2M
AT5G47520,Depleted_G2M
AT5G47060,Depleted_G2M
AT5G46850,Depleted_G2M
AT5G46700,Depleted_G2M
AT5G46790,Depleted_G2M
AT5G46230,Depleted_G2M
AT5G46280,Depleted_G2M
AT5G45560,Depleted_G2M
AT5G45550,Depleted_G2M
AT5G45420,Depleted_G2M
AT5G44860,Depleted_G2M
AT5G43700,Depleted_G2M
AT5G43080,Depleted_G2M
AT5G43270,Depleted_G2M
AT5G42860,Depleted_G2M
AT5G43060,Depleted_G2M
AT5G42420,Depleted_G2M
AT5G42090,Depleted_G2M
AT5G42320,Depleted_G2M
AT5G41670,Depleted_G2M
AT5G41790,Depleted_G2M
AT5G41880,Depleted_G2M
AT5G40830,Depleted_G2M
AT5G40190,Depleted_G2M
AT5G39990,Depleted_G2M
AT5G39730,Depleted_G2M
AT5G39500,Depleted_G2M
AT5G39410,Depleted_G2M
AT5G39320,Depleted_G2M
AT5G38690,Depleted_G2M
AT5G36160,Depleted_G2M
AT5G24580,Depleted_G2M
AT5G24330,Depleted_G2M
AT5G23530,Depleted_G2M
AT5G23860,Depleted_G2M
