gene,phase
AT5G67630,Enriched_G2M
AT5G67030,Enriched_G2M
AT5G67250,Enriched_G2M
AT5G67270,Enriched_G2M
AT5G66770,Enriched_G2M
AT5G66820,Enriched_G2M
AT5G66230,Enriched_G2M
AT5G66170,Enriched_G2M
AT5G66210,Enriched_G2M
AT5G65685,Enriched_G2M
AT5G65490,Enriched_G2M
AT5G65210,Enriched_G2M
AT5G64840,Enriched_G2M
AT5G64940,Enriched_G2M
AT5G64600,Enriched_G2M
AT5G64710,Enriched_G2M
AT5G64080,Enriched_G2M
AT5G64420,Enriched_G2M
AT5G64260,Enriched_G2M
AT5G63950,Enriched_G2M
AT5G63990,Enriched_G2M
AT5G64170,Enriched_G2M
AT5G63135,Enriched_G2M
AT5G63380,Enriched_G2M
AT5G62550,Enriched_G2M
AT5G62710,Enriched_G2M
AT5G62170,Enriched_G2M
AT5G62130,Enriched_G2M
AT5G61770,Enriched_G2M
AT5G61410,Enriched_G2M
AT5G61060,Enriched_G2M
AT5G61190,Enriched_G2M
AT5G61330,Enriched_G2M
AT5G60680,Enriched_G2M
AT5G60840,Enriched_G2M
AT5G60930,Enriched_G2M
AT5G60030,Enriched_G2M
AT5G60150,Enriched_G2M
AT5G59980,Enriched_G2M
AT5G59740,Enriched_G2M
AT5G59450,Enriched_G2M
AT5G59440,Enriched_G2M
AT5G59240,Enriched_G2M
AT5G58690,Enriched_G2M
AT5G58370,Enriched_G2M
AT5G57910,Enriched_G2M
AT5G58070,Enriched_G2M
AT5G57920,Enriched_G2M
AT5G57980,Enriched_G2M
AT5G57420,Enriched_G2M
AT5G57610,Enriched_G2M
AT5G57660,Enriched_G2M
AT5G57655,Enriched_G2M
AT5G57280,Enriched_G2M
AT5G57100,Enriched_G2M
AT5G56580,Enriched_G2M
AT5G56790,Enriched_G2M
AT5G56910,Enriched_G2M
AT5G55820,Enriched_G2M
AT5G55830,Enriched_G2M
AT5G55520,Enriched_G2M
AT5G55400,Enriched_G2M
AT5G55130,Enriched_G2M
AT5G54840,Enriched_G2M
AT5G54880,Enriched_G2M
AT5G54180,Enriched_G2M
AT5G53900,Enriched_G2M
AT5G53200,Enriched_G2M
AT5G53290,Enriched_G2M
AT5G52850,Enriched_G2M
AT5G52820,Enriched_G2M
AT5G52420,Enriched_G2M
AT5G52170,Enriched_G2M
AT5G51820,Enriched_G2M
AT5G51910,Enriched_G2M
AT5G52070,Enriched_G2M
AT5G51600,Enriched_G2M
AT5G51380,Enriched_G2M
AT5G50720,Enriched_G2M
AT5G50740,Enriched_G2M
AT5G50350,Enriched_G2M
AT5G49280,Enriched_G2M
AT5G49560,Enriched_G2M
AT5G48790,Enriched_G2M
AT5G48970,Enriched_G2M
AT5G48460,Enriched_G2M
AT5G48650,Enriched_G2M
AT5G48720,Enriched_G2M
AT5G48220,Enriched_G2M
AT5G48310,Enriched_G2M
AT5G48470,Enriched_G2M
AT5G47980,Enriched_G2M
AT5G47990,Enriched_G2M
AT5G48000,Enriched_G2M
AT5G48100,Enriched_G2M
AT5G48030,Enriched_G2M
AT5G48170,Enriched_G2M
AT5G47640,Enriched_G2M
AT5G47390,Enriched_G2M
AT5G47180,Enriched_G2M
AT5G46910,Enriched_G2M
AT5G47110,Enriched_G2M
AT5G46550,Enriched_G2M
AT5G46840,Enriched_G2M
AT5G46460,Enriched_G2M
AT5G46250,Enriched_G2M
AT5G45760,Enriched_G2M
AT5G45920,Enriched_G2M
AT5G45780,Enriched_G2M
AT5G45700,Enriched_G2M
AT5G45140,Enriched_G2M
AT5G44650,Enriched_G2M
AT5G44460,Enriched_G2M
AT5G44560,Enriched_G2M
AT5G44210,Enriched_G2M
AT5G43720,Enriched_G2M
AT5G42480,Enriched_G2M
AT5G42540,Enriched_G2M
AT5G42370,Enriched_G2M
AT5G42700,Enriched_G2M
AT5G42050,Enriched_G2M
AT5G41960,Enriched_G2M
AT5G40840,Enriched_G2M
AT5G41070,Enriched_G2M
AT5G40740,Enriched_G2M
AT5G40490,Enriched_G2M
AT5G40540,Enriched_G2M
AT5G40640,Enriched_G2M
AT5G40320,Enriched_G2M
AT5G40330,Enriched_G2M
AT5G39660,Enriched_G2M
AT5G39840,Enriched_G2M
AT5G38720,Enriched_G2M
AT5G38290,Enriched_G2M
AT5G38300,Enriched_G2M
